id_str,screen_name,english,universal,content,friend,network,sentiment,temporal,user
164355475,BalaCynwydPatch,0.203165259,0.1803031,0.934460704,0.783067857,0.788921101,0.818718988,0.837340698,0.7614882
161320251,USauconPatch,0.538776111,0.016452305,0.946174529,0.91362236,0.911435918,0.884974923,0.837340698,0.667547437
164436572,WChesterPatch,0.590677715,0.325413494,0.915147612,0.91362236,0.911435918,0.944772548,0.819741547,0.732290532
164438568,SprngfldPAPatch,0.141573911,0.116935967,0.942507717,0.907871649,0.904490282,0.878020781,0.734718203,0.481061291
164402982,MarplePatch,0.386842593,0.104603479,0.952855861,0.91362236,0.587339613,0.933374264,0.828720371,0.538941032
164717473,MalvernPatch,0.319258204,0.355154311,0.90366252,0.87579063,0.899717411,0.764001561,0.696932021,0.716869234
161033118,BethlehemPatch,0.420205046,0.067479061,0.915147612,0.91362236,0.911435918,0.909435968,0.810399721,0.299706585
226457069,NewtownPAPatch,0.386842593,0.1803031,0.727591126,0.69316718,0.909835688,0.775796169,0.758169543,0.481061291
8.35E+17,cheryllausch,0.005363701,0.026940289,0.066206203,0.311763277,0.06307622,0.063717928,0.074839956,0.05042453
4183535129,CindyinMemphis2,0.018904417,0.130655984,0.188451281,0.311763277,0.306633962,0.291206365,0.070659494,0.333118388
8.16E+17,shred400,0.004775576,0.003626193,0.483913614,0.168637131,0.743921493,0.427948527,0.769352384,0.067460107
55060090,realTuckFrumper,0.036578053,0.067479061,0.11728456,0.244779764,0.098634555,0.264499589,0.301336415,0.268297742
7.40E+17,derekv333,0.024702039,0.1803031,0.303217448,0.341192636,0.257541174,0.239414795,0.11725226,0.775241191
511026754,premieradvisor,0.482700521,0.559158374,0.653282836,0.469446866,0.694992981,0.460818772,0.301336415,0.89712048
19027427,NYJewishWeek,0.003831756,0.008048111,0.333488397,0.257367141,0.066761329,0.164926807,0.229193749,0.058361975
7.10E+17,bobsalpha1,0.004268306,0.009037049,0.449190615,0.23261518,0.246102383,0.494033347,0.475747179,0.253398775
150665663,nz_blogs,0.03218322,0.021041094,0.727591126,0.734158617,0.538830307,0.878020781,0.522204428,0.368296058
201627247,markmckay66,0.002080127,0.008048111,0.041686826,0.188251402,0.083581381,0.040950532,0.088777716,0.027817973
1.04E+18,RonSouthernTwo,0.319258204,0.145776203,0.791067057,0.783067857,0.66865868,0.798108378,0.355948984,0.253398775
41935019,radiogoethe,0.003134129,0.018599227,0.483913614,0.142317413,0.293877765,0.395702202,0.079246657,0.089707323
3064173861,44MAPS,0.012788431,0.011448498,0.501354771,0.119514967,0.418207933,0.319438573,0.123822034,0.283739797
1633536818,ppanciroli,0.041425126,0.003353677,0.934460704,0.91362236,0.741428614,0.751784998,0.861109621,0.283739797
17214735,bbbgreatermd,0.008750694,0.034358494,0.6841856,0.452811516,0.257541174,0.239414795,0.429705913,0.144775381
246939630,shannonrwatts,0.002234495,0.003353677,0.044565652,0.142317413,0.098634555,0.227500288,0.066695714,0.037517839
1304831905,JustworksHR,0.002412482,0.003353677,0.168026537,0.311763277,0.136088798,0.08670852,0.240328119,0.043516718
164402331,RadnorPatch,0.420205046,0.22121616,0.833483127,0.536297157,0.428200012,0.764001561,0.905377098,0.461804178
114050808,LisaDNews,0.001828421,0.003940624,0.075375337,0.188251402,0.104166126,0.139219666,0.145447808,0.029986279
164403492,PxvPatch,0.03218322,0.048615291,0.842944738,0.452811516,0.932958968,0.640017119,0.53764464,0.253398775
161754150,UDublinPatch,0.76420234,0.504016168,0.958744005,0.91362236,0.911435918,0.884974923,0.828720371,0.927713378
712660501,LPPatch,0.059424802,0.296768766,0.938607316,0.868322344,0.77500211,0.828393199,0.790614557,0.614256976
855574459,PottstownPatch,0.041425126,0.104603479,0.955893562,0.860476554,0.832412338,0.751784998,0.819741547,0.538941032
266089874,AmblerPatch,0.2564674,0.162307584,0.915147612,0.648878021,0.854747746,0.775796169,0.819741547,0.577046617
161055515,LMacungiePatch,0.075832357,0.03867703,0.938607316,0.91362236,0.911435918,0.510678834,0.924589514,0.577046617
161318502,UMorelandPatch,0.041425126,0.067479061,0.952855861,0.91362236,0.911435918,0.764001561,0.861109621,0.632401321
161800250,PerkiomenVPatch,0.420205046,0.104603479,0.925376552,0.852242833,0.880261989,0.775796169,0.460314811,0.333118388
296945660,PW_Patch,0.352890442,0.415825951,0.952855861,0.868322344,0.904490282,0.854960709,0.837340698,0.835428345
2189174659,MerrilleeWhren,0.003456538,0.006431293,0.466511556,0.142317413,0.194173786,0.751784998,0.056011644,0.268297742
2424178550,ambertamblyn,0.001261693,0.002431366,0.034080667,0.159457582,0.05312993,0.046512789,0.056011644,0.025802286
149751818,BeautyBind,0.006826175,0.05430461,0.047633404,0.371898875,0.059581537,0.0384138,0.110986912,0.577046617
992067612,HistoryCtr,0.018904417,0.006431293,0.791067057,0.326306901,0.194173786,0.527300673,0.188341809,0.046849714
16373185,TXcyclist72,0.001309081,0.002571044,0.234880083,0.083268406,0.122431359,0.164926807,0.130705413,0.110529641
211239381,ingthingg,0.003831756,0.005778301,0.097285153,0.209571931,0.203851584,0.155959099,0.17904829,0.040410786
559038254,jamesda41280464,0.001634715,0.006431293,0.149407927,0.168637131,0.374655042,0.131429759,0.110986912,0.1994511
44007943,znjamal,0.059424802,0.043420869,0.188451281,0.198696697,0.203851584,0.395702202,0.746623074,0.21207915
8.59E+17,HarrisburgPatch,0.085904092,0.007183846,0.942507717,0.91362236,0.911435918,0.751784998,0.861109621,0.103156614
22508250,HammurabiCode,0.005363701,0.008048111,0.349176123,0.283778917,0.583655528,0.147392934,0.288448768,0.239056859
181016729,ivanlbial,0.006043447,0.026940289,0.553489451,0.29758154,0.333041419,0.239414795,0.070659494,0.072487975
393046380,LonnieJameslee,0.021603217,0.03867703,0.621031119,0.270370074,0.40351138,0.349059933,0.088777716,0.164984352
2468257225,twistnshout58,0.008750694,0.005778301,0.234880083,0.257367141,0.553878927,0.097851882,0.218426911,0.062757383
887227003,NicholeJordan26,0.0099223,0.007183846,0.6841856,0.244779764,0.224270463,0.427948527,0.384849463,0.077859288
171204719,solomonmccown,0.286868665,0.116935967,0.802367303,0.663976004,0.732183735,0.560327318,0.491226002,0.154610258
9.26E+17,PenceConscience,0.041425126,0.269683227,0.110250333,0.371898875,0.109970068,0.052788974,0.275894648,0.700922407
60705407,ChelEarle,0.003831756,0.021041094,0.054380119,0.356398198,0.088351497,0.09212893,0.105016524,0.029986279
119835703,ChampaignGOP,0.286868665,0.043420869,0.920412076,0.617796595,0.583655528,0.808625391,0.161544007,0.154610258
267234551,BadProductionz,0.003456538,0.005778301,0.158495458,0.311763277,0.194173786,0.052788974,0.105016524,0.067460107
7.66E+17,qebenford5,0.021603217,0.016452305,0.247652714,0.220878321,0.346662998,0.155959099,0.522204428,0.062757383
1477359643,LkpinkLinda,0.024702039,0.093608419,0.188451281,0.270370074,0.641224427,0.204946688,0.137911216,0.164984352
9.06E+17,JeffJerg1005,0.03218322,0.014565852,0.349176123,0.29758154,0.40351138,0.194309275,0.11725226,0.386453791
483647679,rkollaus,0.007724055,0.00521331,0.553489451,0.126741841,0.184848764,0.41173063,0.769352384,0.423685421
73289182,dennisrd587,0.003456538,0.009037049,0.199356987,0.283778917,0.213883707,0.349059933,0.769352384,0.595789473
21124751,louisvelazquez,0.00136119,0.002100996,0.080385489,0.150687141,0.213883707,0.063717928,0.056011644,0.023929061
999562879,HorneJerome,0.001945784,0.011448498,0.07065346,0.244779764,0.079046475,0.063717928,0.17904829,0.062757383
384650167,PhMai,0.003134129,0.004725362,0.132523774,0.220878321,0.093366114,0.063717928,0.083889305,0.034824478
227474464,subbasegirl,0.001482813,0.002571044,0.054380119,0.106126161,0.083581381,0.043647178,0.06293923,0.032317978
1964473381,Am_Studies,0.024702039,0.011448498,0.621031119,0.486150388,0.66865868,0.775796169,0.491226002,0.054256591
2563891945,msjh51508,0.006826175,0.005778301,0.536184833,0.198696697,0.47820136,0.764001561,0.429705913,0.164984352
600088645,yoshiezaki,0.004775576,0.003626193,0.637311442,0.198696697,0.158958342,0.147392934,0.240328119,0.13546586
442994067,gill_courtney,0.002618313,0.006431293,0.066206203,0.283778917,0.433051152,0.204946688,0.105016524,0.864884946
59143678,CapitolBeatOK,0.420205046,0.269683227,0.89080836,0.648878021,0.880261989,0.837653512,0.61320476,0.87366504
8.88E+17,5467dieweg,0.007724055,0.009037049,0.097285153,0.403675302,0.093366114,0.097851882,0.145447808,0.187396141
19096310,sethwell,0.002412482,0.003940624,0.365197468,0.283778917,0.553878927,0.204946688,0.123822034,0.077859288
2996702887,Trojan_Conquest,0.002234495,0.002431366,0.11728456,0.069163998,0.143386718,0.08670852,0.088777716,0.040410786
2925978011,DudekLinda,0.386842593,0.415825951,0.767062065,0.55290049,0.281436837,0.698843499,0.26368444,0.268297742
156798341,Softheon,0.085904092,0.093608419,0.75436114,0.502884905,0.346662998,0.477401077,0.110986912,0.05042453
35372029,WDAK,0.159909133,0.060559163,0.925376552,0.56938667,0.709694804,0.592828268,0.746623074,0.333118388
551981996,TaxPayersCI,0.002412482,0.005778301,0.140754288,0.112647015,0.493368203,0.147392934,0.627800242,0.058361975
8.88E+17,conniewhitcher_,0.012788431,0.016452305,0.066206203,0.419890699,0.074737554,0.155959099,0.11725226,0.040410786
53669907,kmcccomcastnet,0.007724055,0.034358494,0.333488397,0.326306901,0.281436837,0.30513937,0.17904829,0.144775381
7.91E+17,Marino11Andtew,0.003831756,0.003116818,0.288678674,0.403675302,0.655070675,0.319438573,0.074839956,0.164984352
